c0,xi,minC,collapse_flag,collapse_epsilon
0.5928571428571429,0.21,0.0,1,0.05
0.65,0.21,0.0,1,0.05
0.7071428571428572,0.21,0.0,1,0.05
0.7642857142857143,0.21,0.0,1,0.05
0.8214285714285715,0.21,0.0,1,0.05
0.8785714285714287,0.21,0.8782424685223045,0,0.05
0.9357142857142857,0.21,0.9357142857142857,0,0.05
0.9928571428571429,0.21,0.9928571428571429,0,0.05
1.05,0.21,1.05,0,0.05
0.25,0.23714285714285713,0.0,1,0.05
0.30714285714285716,0.23714285714285713,0.0,1,0.05
0.3642857142857143,0.23714285714285713,0.0,1,0.05
0.42142857142857143,0.23714285714285713,0.0,1,0.05
0.4785714285714286,0.23714285714285713,0.0,1,0.05
0.5357142857142858,0.23714285714285713,0.0,1,0.05
0.5928571428571429,0.23714285714285713,0.0,1,0.05
0.65,0.23714285714285713,0.0,1,0.05
0.7071428571428572,0.23714285714285713,0.0,1,0.05
0.7642857142857143,0.23714285714285713,0.0,1,0.05
0.8214285714285715,0.23714285714285713,0.0,1,0.05
0.8785714285714287,0.23714285714285713,0.866536762995595,0,0.05
0.9357142857142857,0.23714285714285713,0.9357142857142857,0,0.05
0.9928571428571429,0.23714285714285713,0.9928571428571429,0,0.05
1.05,0.23714285714285713,1.05,0,0.05
0.25,0.2642857142857143,0.0,1,0.05
0.30714285714285716,0.2642857142857143,0.0,1,0.05
0.3642857142857143,0.2642857142857143,0.0,1,0.05
0.42142857142857143,0.2642857142857143,0.0,1,0.05
0.4785714285714286,0.2642857142857143,0.0,1,0.05
0.5357142857142858,0.2642857142857143,0.0,1,0.05
0.5928571428571429,0.2642857142857143,0.0,1,0.05
0.65,0.2642857142857143,0.0,1,0.05
0.7071428571428572,0.2642857142857143,0.0,1,0.05
0.7642857142857143,0.2642857142857143,0.0,1,0.05
0.8214285714285715,0.2642857142857143,0.0,1,0.05
0.8785714285714287,0.2642857142857143,0.8235413173099844,0,0.05
0.9357142857142857,0.2642857142857143,0.9357142857142857,0,0.05
0.9928571428571429,0.2642857142857143,0.9928571428571429,0,0.05
1.05,0.2642857142857143,1.05,0,0.05
0.25,0.2914285714285714,0.0,1,0.05
0.30714285714285716,0.2914285714285714,0.0,1,0.05
0.3642857142857143,0.2914285714285714,0.0,1,0.05
0.42142857142857143,0.2914285714285714,0.0,1,0.05
0.4785714285714286,0.2914285714285714,0.0,1,0.05
0.5357142857142858,0.2914285714285714,0.0,1,0.05
0.5928571428571429,0.2914285714285714,0.0,1,0.05
0.65,0.2914285714285714,0.0,1,0.05
0.7071428571428572,0.2914285714285714,0.0,1,0.05
0.7642857142857143,0.2914285714285714,0.0,1,0.05
0.8214285714285715,0.2914285714285714,0.0,1,0.05
0.8785714285714287,0.2914285714285714,0.0,1,0.05
0.9357142857142857,0.2914285714285714,0.9357142857142857,0,0.05
0.9928571428571429,0.2914285714285714,0.9928571428571429,0,0.05
1.05,0.2914285714285714,1.05,0,0.05
0.25,0.31857142857142856,0.0,1,0.05
0.30714285714285716,0.31857142857142856,0.0,1,0.05
0.3642857142857143,0.31857142857142856,0.0,1,0.05
0.42142857142857143,0.31857142857142856,0.0,1,0.05
0.4785714285714286,0.31857142857142856,0.0,1,0.05
0.5357142857142858,0.31857142857142856,0.0,1,0.05
0.5928571428571429,0.31857142857142856,0.0,1,0.05
0.65,0.31857142857142856,0.0,1,0.05
0.7071428571428572,0.31857142857142856,0.0,1,0.05
0.7642857142857143,0.31857142857142856,0.0,1,0.05
0.8214285714285715,0.31857142857142856,0.0,1,0.05
0.8785714285714287,0.31857142857142856,0.0,1,0.05
0.9357142857142857,0.31857142857142856,0.9357142857142857,0,0.05
0.9928571428571429,0.31857142857142856,0.9928571428571429,0,0.05
1.05,0.31857142857142856,1.05,0,0.05
0.25,0.34571428571428575,0.0,1,0.05
0.30714285714285716,0.34571428571428575,0.0,1,0.05
0.3642857142857143,0.34571428571428575,0.0,1,0.05
0.42142857142857143,0.34571428571428575,0.0,1,0.05
0.4785714285714286,0.34571428571428575,0.0,1,0.05
0.5357142857142858,0.34571428571428575,0.0,1,0.05
0.5928571428571429,0.34571428571428575,0.0,1,0.05
0.65,0.34571428571428575,0.0,1,0.05
0.7071428571428572,0.34571428571428575,0.0,1,0.05
0.7642857142857143,0.34571428571428575,0.0,1,0.05
0.8214285714285715,0.34571428571428575,0.0,1,0.05
0.8785714285714287,0.34571428571428575,0.0,1,0.05
0.9357142857142857,0.34571428571428575,0.9357142857142857,0,0.05
0.9928571428571429,0.34571428571428575,0.9928571428571429,0,0.05
1.05,0.34571428571428575,1.05,0,0.05
0.25,0.3728571428571429,0.0,1,0.05
0.30714285714285716,0.3728571428571429,0.0,1,0.05
0.3642857142857143,0.3728571428571429,0.0,1,0.05
0.42142857142857143,0.3728571428571429,0.0,1,0.05
0.4785714285714286,0.3728571428571429,0.0,1,0.05
0.5357142857142858,0.3728571428571429,0.0,1,0.05
0.5928571428571429,0.3728571428571429,0.0,1,0.05
0.65,0.3728571428571429,0.0,1,0.05
0.7071428571428572,0.3728571428571429,0.0,1,0.05
0.7642857142857143,0.3728571428571429,0.0,1,0.05
0.8214285714285715,0.3728571428571429,0.0,1,0.05
0.8785714285714287,0.3728571428571429,0.0,1,0.05
0.9357142857142857,0.3728571428571429,0.9357142857142857,0,0.05
0.9928571428571429,0.3728571428571429,0.9928571428571429,0,0.05
1.05,0.3728571428571429,1.05,0,0.05
0.25,0.4,0.0,1,0.05
0.30714285714285716,0.4,0.0,1,0.05
0.3642857142857143,0.4,0.0,1,0.05
0.42142857142857143,0.4,0.0,1,0.05
0.4785714285714286,0.4,0.0,1,0.05
0.5357142857142858,0.4,0.0,1,0.05
0.5928571428571429,0.4,0.0,1,0.05
0.65,0.4,0.0,1,0.05
0.7071428571428572,0.4,0.0,1,0.05
0.7642857142857143,0.4,0.0,1,0.05
0.8214285714285715,0.4,0.0,1,0.05
0.8785714285714287,0.4,0.0,1,0.05
0.9357142857142857,0.4,0.9348393958247972,0,0.05
0.9928571428571429,0.4,0.9928571428571429,0,0.05
1.05,0.4,1.05,0,0.05
